No.,会社名,設立年,代表者名,従業員数,住所,会社URL
1,フェンリル株式会社,2005年, - ,500-999人,大阪府大阪市北区大深町3-1 グランフロント大阪 タワーB 14F,https://www.fenrir-inc.com/
2,アップフロンティア株式会社,2005年, - , - ,東京都渋谷区神宮前5-7-20 神宮前太田ビル4F,https://up-frontier.jp/
3,株式会社ステークホルダーコム,2009年, - , - ,大阪府大阪市中央区備後町3丁目4−9　輸出繊維会館805号,http://www.sh-com.jp/
4,チームラボ株式会社,2001年, - ,1000人以上,東京都千代田区神田小川町2-12 小川町進興ビル 受付 6階,https://www.team-lab.com/
5,株式会社未来ボックス,2011年, - ,100-499人,神奈川県横浜市中区相生町6-113 オーク桜木町ビル 3F,https://miraibox.jp/
6,ネオス株式会社,2020年, - ,100-499人,東京都千代田区神田須田町1丁目23-1　住友不動産神田ビル2号館10F,https://www.neoscorp.jp/
7,株式会社CET,2021年,朴　鐘和,30-99人,東京都新宿区西新宿1-26-2　新宿野村ビル32階,https://cet-app.com/
8,株式会社パイプドビッツ,2000年, - ,100-499人,東京都港区赤坂 2丁目9番11号　オリックス赤坂2丁目ビル（受付2Ｆ）,https://www.pi-pe.co.jp/
9,クラスメソッド株式会社,2004年, - ,500-999人,東京都港区西新橋1-1-1 日比谷フォートタワー26階,https://www.classmethod.jp/
10,株式会社クロス・コミュニケーション,2011年, - ,100-499人,東京都千代田区五番町6−1  AKビルディング 3F,http://www.cross-c.co.jp/
11,合同会社オン・ザ・ハンモック,2014年, - ,100-499人,神奈川県横須賀市小川町19-5 富士ビル3階,https://onthehammock.com/
12,株式会社アプリクッキング,2015年, - , - ,東京都中央区東日本橋2丁目11-5ニニギノビル,http://appcooking.jp/
13,株式会社ドリームネッツ,2001年, - , - ,広島県福山市元町13-20 元町プラッツビル4F,http://www.dreamnets.co.jp/
14,株式会社ジークス,1994年, - ,100-499人,東京都千代田区神田小川町3-9-2　BIZCORE神保町4F,https://www.zyyx.jp/
15,株式会社システナ,1983年, - ,1000人以上,東京都港区海岸1丁目2番20号　汐留ビルディング 14F・16F,http://www.systena.co.jp/
16,パーソルAVCテクノロジー株式会社,1997年, - ,500-999人,大阪府高槻市幸町1番1号,https://www.persol-avct.co.jp/
17,株式会社ゆめみ,2000年, - ,100-499人,東京都世田谷区三軒茶屋2-11-23 サンタワーズB棟8階,https://www.yumemi.co.jp/
18,TC3株式会社,2016年,須藤 義人,10-29人,東京都千代田区大手町１―６―１　大手町ビル４階　ＦｉｎｏＬａｂ内,https://www.tc3.co.jp/
19,株式会社DearOne,2011年, - , - ,東京都港区虎ノ門 3-8-8 NTT虎ノ門ビル4階,https://www.dearone.io/
20,Ragate株式会社,2017年,益子竜与志,30-99人,東京都中央区日本橋富沢町6-4 WORK EDITION 4B,https://www.ragate.co.jp/
21,アララ株式会社,2006年,尾上 徹,30-99人,東京都港区南青山2丁目24番15号　青山タワービル別館,https://www.arara.com/
22,ロータスジャパン株式会社,2020年,グエン・ホアン・ハイ,100-499人,東京都	台東区池之端4丁⽬26-5,https://www.ltsgroup.tech/jp/
23,株式会社ソニックムーブ,2002年,⼤塚 祐⼰,30-99人,東京都千代田区麹町6-6-2 番町麹町ビルディング5F,https://www.sonicmoov.com/
24,株式会社カオピーズ,2014年,チン　コン　フアン,100-499人,東京都千代田区岩本町2-9-3　第2片山ビル6F,https://kaopiz.com/
25,株式会社野本,2019年, - ,5-9人,東京都新宿区西新宿３丁目２−９ 新宿ワシントンビル本館 2F THE HUB,https://metasilverbullet.com/
26,合同会社Citrus App,2021年,石村 渉,5-9人,東京都調布市国領町4‐33‐2　オーベルグランディオ調布国領114,https://citrusapp.jp/
27,株式会社リヴィティエ,2009年,佐藤 紗耶子,10-29人,東京都文京区湯島3-1-5 アール・デコ御茶ノ水6階,https://revitie.jp/
28,京都エンタテインメントワークス株式会社,2009年, - ,10-29人,京都府京都市下京区中堂寺粟田町93番地京都リサーチパーク6号館4階,https://www.entaworks.co.jp/
29,株式会社バイタリフィ,2005年, - ,100-499人,東京都渋谷区恵比寿西1-9-6 アストゥルビル8F,http://vitalify.jp/
30,株式会社 Pionero,2020年,チン・トゥアン・トゥー,30-99人,東京都千代田区神田多町２－１神田東山ビル７Ｆ・８Ｆ,https://www.pionero.io/
31,ジウ株式会社,2020年,奥村 貴史,5-9人,東京都品川区東五反田3-20-16　センチュリーメモリアル島津山1101,https://jiu-x.com/
