No.,会社名,設立年,代表者名,従業員数,住所,会社URL
1,株式会社DeCoA,2020年,吉松 誠二,10-29人,東京都新宿区西新宿6-8-1  住友不動産新宿オークタワー4F,https://decoa.jp/
2,株式会社アレグリア,2024年,小野松健太,30-99人,東京都中央区築地４丁目４−１４,https://alegria-sales.co.jp/
3,Ragate株式会社,2017年,益子竜与志,30-99人,東京都中央区日本橋富沢町6-4 WORK EDITION 4B,https://www.ragate.co.jp/
4,セルウェル株式会社,2015年,森 英朗,10-29人,東京都港区新橋6-14-3 御成門PREX6F,https://sellwell.jp/
5,株式会社YOAKE,2020年,山田翔大,5-9人,東京都世田谷区北沢2-6-2  ミカン下北 B街区 5F,https://yoake-tokyo.jp
6,TC3株式会社,2016年,須藤 義人,10-29人,東京都千代田区大手町１―６―１　大手町ビル４階　ＦｉｎｏＬａｂ内,https://www.tc3.co.jp/
7,株式会社ミライアル,2015年,木田豊彦,1-4人,大阪府吹田市広芝町１０－８董友ビル2階,https://t-miraiaru.com/
8,スマートスタイル・コンプレックス株式会社,2013年,佐藤　聡,10-29人,東京都文京区本郷2-26-9 NOVEL WORK Hongo 4階,https://ss-complex.com/
9,株式会社Skyfall,2017年,長谷川 智一,100-499人,〒107-6219 東京都港区赤坂 9-7-1 ミッドタウン・タワー19F,https://skyfall.co.jp/
10,株式会社 アピリッツ,2000年,和田 順児,500-999人,桜丘町1番1号 渋谷サクラステージ SHIBUYAタワー 24階,https://appirits.com/
11,株式会社イノベル,2022年,伊藤 大史,5-9人,東京都渋谷区神宮前6丁目23-4 桑野ビル2F,https://innovel.jp/
12,株式会社アガルートITパートナーズ,2017年,岩崎北斗 ・ 岩瀬 武 ・ 今井克哉,10-29人,東京都新宿区新小川町5-5 サンケンビル4F,https://agaroot-itp.com/
13,株式会社コーナー,2016年,門馬貴裕,10-29人,東京都渋谷区渋谷1-1-3　第35荒井ビル 8・9F,https://www.corner-inc.co.jp/
14,トビラマーケティング,2016年,伊藤大智,1-4人,愛知県名古屋市,https://tour-travelworld.com/
15,株式会社ハブプロダクト,2020年,細野和彦,1-4人,東京都渋谷区松濤1-28-2　WORK COURT SHIBUYA松濤,https://www.hub-product.com/
16,シンクインク株式会社,2022年,平井 裕,10-29人,兵庫県神⼾市中央区⼭本通2丁目13番15号　WALL SQUARE 北野坂,https://www.think-inc.co.jp/
17,株式会社moonhope,2023年,塩月　美希,1-4人,東京都渋谷区道玄坂１丁目１０番８号渋谷道玄坂東急ビル２Ｆ－Ｃ,https://www.moonhope.net/
18,株式会社1ttan,2018年,赤堀 信,10-29人,東京都中央区京橋3-1-1 東京スクエアガーデン14F,https://1ttan.jp
19,有限会社エッセンシャルエデュケーションセンター,1997年,田中翔紘,30-99人,兵庫県尼崎市東七松町1-15-5-103,https://e-ec.co.jp/
20,株式会社日本コンサルタントグループ,1956年,清水秀一,100-499人,東京都新宿区下落合三丁目22－15 ニッコンビル,https://www.niccon.co.jp
21,株式会社ビジネス工房,1999年,緒方　真一,1-4人,東京都渋谷区恵比寿西2-2-6 恵比寿ファイブビル401,http://www.b-kohboh.jp/index.html
22,株式会社ネイビーグループ,2021年, - ,10-29人,東京都新宿区荒木町13-2 四谷NSビル,https://navygroup.co.jp/
23,株式会社Mab,2022年,孫健真,10-29人,魚崎北町5丁目3-17 グランヴィア甲南1F,https://mabinc.jp/
24,株式会社ピュアフラット,2020年, - ,10-29人,東京都港区南青山2-2-8 DFビル,https://pureflat.co.jp/
25,株式会社Part X,2025年,留目豊,10-29人,東京都港区南青山3丁目1番36号青山丸竹ビル6F,https://partx.co.jp/
26,Ivy do 株式会社,2021年,二村 勇輔,1-4人,名古屋市中区栄2丁目2-21 アーク白川公園ビルディング別館6階,https://www.ivy-do.com
27,GOLGO Consulting 合同会社,2021年,TAC西山,5-9人,福岡県福岡市中央区薬院,https://golgo-consulting.online/
28,株式会社リアル, - , - ,5-9人,東京都渋谷区恵比寿1-15-9シルク恵比寿403,https://real-co.ltd
29,株式会社ヴォーチェ,2009年,毛受 史江,5-9人,愛知県名古屋市葵１丁目１４−１３アーク新栄ビルディング6F,https://agross.jp/
30,株式会社リヴィティエ,2009年,佐藤 紗耶子,10-29人,東京都文京区湯島3-1-5 アール・デコ御茶ノ水6階,https://revitie.jp/
31,株式会社経営支援,2007年,茶谷武志,30-99人,東京都町田市森野１丁目１０番６号パールビル２階,https://www.keiei-shien.co.jp/
32,セレクションアンドバリエーション株式会社,2006年,平康　慶浩,10-29人,東京都千代田区丸の内2丁目2番1号岸本ビル7階,https://sele-vari.co.jp/
33,CPエージェンシー株式会社,2013年,小山 良行,5-9人,東京都新宿区神楽坂6-46 ローベル神楽坂10階,https://cp-agency.co.jp/
34,株式会社YHT,2019年, - ,5-9人,東京都港区西麻布4-4-11,https://www.yhtinc.com/
35,KATO&COMPANY株式会社,2003年,加藤　雅（ただし）,1-4人,神奈川県小田原市板橋562番地,http://www.kato-and-company.co.jp/
36,株式会社CCG C.REP,2020年,田中　悠,10-29人,東京都千代田区九段南2丁目3-14 日本生命靖国九段南ビル4F,https://ccg-crep.jp/
37,株式会社ベーシック,2004年,秋山 勝,100-499人,東京都千代田区一番町17-6 一番町MSビル2F,https://basicinc.jp/
38,株式会社Braids＆Co.,2022年,坂本　宗一郎,1-4人,宇和町卯之町3-113,https://braids.0am.jp/
39,株式会社フォーティファイヴ,2009年,阿部　薫,10-29人,大阪府大阪市福島区福島3-7-39 藤和堂島ハイタウン905,https://www.0450.jp/
40,株式会社Your Pro,2021年, - ,1-4人,兵庫県神戸市磯上通8丁目1番29号 カサベラビルC&M403号室,https://yourpro.co.jp/
41,リヴァイ株式会社,2023年, - ,10-29人,東京都港区新橋四丁目1番1号,https://corp.livai.jp/
42,株式会社Nodo,2024年,外山 巧,1-4人,東京都渋谷区道玄坂１丁目１０番８号　渋谷道玄坂東急ビル２Ｆ－Ｃ,https://www.nodo.co.jp/
43,株式会社EPLGA,2007年,中島晋哉,10-29人,東京都渋谷区恵比寿1-16-26 協和ビル1F,http://www.eplga.co.jp/
44,株式会社シーアークス,2014年,渡辺　正人,1-4人,静岡県静岡市葵区七間町6-2　銀河ビル2F-C,http://c-arks.co.jp/
