No.,会社名,設立年,代表者名,従業員数,住所,会社URL
1,株式会社ブイキューブ,1998年,間下 直晃,100-499人,東京都港区白金一丁目17番3号NBFプラチナタワー16階（受付）、17階,https://jp.vcube.com/eventdx
2,株式会社エイスリー,2008年,高橋 太一,30-99人,東京都渋谷区神宮前3-35-2　クローチェ神宮前ビル6F,https://www.a3corp.jp/
3,株式会社エレメント,2004年,岡本　鉄平,10-29人,東京都渋谷区恵比寿1-8-1　サン栄ビル9F,http://www.element-inc.jp/
4,株式会社Liderar,2023年,大久保 竜介,1-4人,千葉県千葉市花見川区花園1丁目7−15 SS小川ビル 4F,https://liderar.co.jp/index.html
5,株式会社ヴァリアス・ディメンションズ,2002年,阪柳 敏行,100-499人,東京都中央区銀座7-17-2アーク銀座ビルディング4F,https://v-dimensions.com/
6,株式会社Airz,2019年,宮崎俊行,10-29人,東京都港区東麻布3-8-2 麻布マルカビル4F,https://airz.co.jp/
7,株式会社アズムクリエイション,2011年, - ,10-29人,東京都渋谷区神宮前3-38-5 カクセンプレイス3F,https://www.azm-cr.co.jp/
8,株式会社J-Rights,2011年, - ,10-29人,兵庫県芦屋市春日町13-5-C201,https://j-rights-inc.com
9,株式会社GROOMIX,2005年,菅井浩二,5-9人,東京都目黒区上目黒2-44-3  MGフラッツ401,https://www.groomix.co.jp
10,株式会社ポマト･プロ,1983年,飯島　髙尚,30-99人,東京都千代田区麹町5-3麹町中田ビル4F,http://pomato.co.jp/
11,株式会社ハピ・ディレクション,2020年, - ,1-4人,東京都渋谷区東2-27-10TBCビル4F,https://www.hapy-direction.co.jp/
12,株式会社アノマリー,2004年,神田 勘太朗,10-29人,東京都渋谷区千駄ヶ谷1-13-3 カリスマヒルズレジデンス国立競技場前,https://www.anomaly.co.jp
13,株式会社クロノスジャパン,2001年, - ,10-29人,東京都港区新橋2-5-6大村ビル6F,http://cronosjapan.com/
14,株式会社イベック, - , - , - ,東京都港区赤坂4-15-1 赤坂ガーデンシティ 14F,https://vectorinc.co.jp/business/pr/evech
15,クリエイティブ・ファクトリー株式会社,2009年,越澤　勝好,5-9人,東京都新宿区新宿5-15-14 INBOUND LEAGUE（インバウンドリーグ）5階,https://creativefactory-co.jp
16,株式会社エス・ブイ・シー ディレクションズ,2017年, - ,10-29人,東京都中央区日本橋本町3-9-7 ARCCUBE日本橋本町6F,https://www.sv-c.jp
17,有限会社サムシング・フォー,2005年,小平 友幸,1-4人,埼玉県越谷市レイクタウン２丁目２１−６,http://www.something-four.co.jp/
18,株式会社クレスト,2021年, - ,100-499人,東京都武蔵野市中町1-19-20アソルティ三鷹５階,https://crest01.co.jp/
19,リンクストラテジー株式会社,2021年, - ,1-4人,東京都台東区台東1-12-10ロータリーパレス秋葉原2階,https://linkstrategy.jp/
20,株式会社CREA,2020年,川崎 正仁,5-9人,大阪府大阪市中央区谷町2-5-4　エフベースラドルフビル6F,https://crea-co.jp/
21,株式会社アスカ企画,1993年,佐藤　秀司,10-29人,東京都文京区本郷2-14-14 レジデンス本郷アコマ4F,https://asuka-plan.com/
22,株式会社ストラーツ,2018年, - ,10-29人,東京都港区南青山3-8-40青山センタービル2F,https://strarts-event.com/
23,株式会社スマートノート,2018年,林 裕也,30-99人,愛知県名古屋市中区錦2-2-24 いちご丸の内サウスビル5F,https://smartnote.jp/
24,株式会社ムード,2020年,安藤 愼平,1-4人,東京都文京区本郷3-3-11 IPB御茶ノ水ビル９F,https://www.moodinc.jp/
25,株式会社サピエント,2012年,湯川 智子, - ,東京都港区台場2丁目3-1 トレードピアお台場14階,https://www.sapient-inc.co.jp/
26,株式会社博展,1970年, - ,100-499人,東京都中央区築地1-13-14 NBF東銀座スクエア,https://www.hakuten.co.jp/
27,株式会社ザ・カンパニー,2009年,橘 啓介,5-9人,東京都渋谷区神宮前2-31-7 ビラ・グロリア#503,https://www.the-company.co.jp/
28,株式会社サムライズ,2005年,奥田 洋三,5-9人,大阪府大阪市高見2-10-5,https://somerise.co.jp/
29,有限会社日本産業広告社,2003年,石原　聖剛,5-9人,東京都豊島区南池袋1-16-15　ダイヤゲート池袋5階（リージャス池袋ビジネスセンター内）,https://www.jia.co.jp/
30,株式会社East Ship,2021年,寺澤　正史,5-9人,東京都世田谷区用賀2-38-10清水ビル402,https://eastship.co.jp/
31,株式会社ディモルギア,1989年,長沼　茂夫,30-99人,東京都文京区湯島3-24-11　湯島北東ビル2F,https://dimiourgia.jp/
32,株式会社グレイス,2015年,大田　徹,5-9人,大阪府大阪市中央区南久宝寺町2-6-15 中川ビル4階,https://officialgrace.com
33,株式会社アイ・オー・ワン,2001年, - ,5-9人,大阪府大阪市北区堂島2-1-2 中村屋ビル503,https://io1.co.jp/
34,株式会社サウンズグッド,2005年, - ,1-4人,東京都中央区銀座４－１３－１松戸ビル４階,http://sounds-gd.com/
35,株式会社エーディープロジェクト,1993年, - ,30-99人,東京都渋谷区代々木２-２７-４,https://www.adproject.co.jp
36,株式会社アソビズ,2016年, - ,1-4人,神奈川県横浜市旭区善部町42-35,https://www.aso-biz.jp/
37,株式会社オーエムシークリエイティブ,1984年, - ,10-29人,東京都中央区築地2-10-6　Daiwa築地駅前ビル1F,http://www.omcc.co.jp/
38,株式会社デルフィス・ドライブ,1967年, - ,30-99人,東京都千代田区神田淡路町2丁目101番地 ワテラスタワー9F,http://d-drive.co.jp/
39,株式会社TRICK,2019年, - ,1-4人,東京都新宿区新宿5-10-10 海老沢ビル202,https://trick-group.co.jp/
40,株式会社TWINKLE STARS,2019年,松川　倫子,5-9人,兵庫県神戸市磯上通8-1-29カサベラビルC＆M403,https://twinklestars.co.jp/
41,株式会社ディスタッフ・イベントス,2007年,野田　富喜由,10-29人,愛知県名古屋市中区錦1-6-38　錦エムワンビル5F,http://thistaffeventos.jp/index.html
42,株式会社ユービコーポレーション,1991年, - ,10-29人,東京都豊島区南長崎6-1-2,http://www.yubi.co.jp/
43,株式会社フジヤ,1960年, - ,100-499人,京都府京都市中京区東堀川通丸太町下ル 7-4東京都江東区豊洲5-6-36豊洲プライムスクエア 3F,http://www.fujiya-net.co.jp/
44,株式会社ムラヤマ,1958年, - ,100-499人,東京都江東区豊洲 3-2-24 豊洲フォレシア,http://www.murayama.co.jp/
45,株式会社タカヨシ,1960年,高橋佑,100-499人,愛知県名古屋市桜が丘295 第八オオタビル7階,https://www.takayoshi.co.jp/
46,株式会社 東真,1967年,飯田　仁晴,30-99人,東京都新宿区四谷4－14 TOSHIN BLDG. 3階,http://toshin-event.com/
47,株式会社ブロアジャパン,2010年, - ,10-29人,東京都千代田区神田須田町2-13-1 YKS黒田ビル5F/7F,https://broa.jp/
48,株式会社ネクサス,2022年, - ,5-9人,埼玉県川越市鴨田541-10,https://nexus-y.com/
49,合同会社イースリー,2023年,兒玉　隼, - ,東京都港区南青山3-1-36 青山丸竹ビル6F,https://ethreee.jp/
50,株式会社CCG C.REP,2020年,田中　悠,10-29人,東京都千代田区九段南2丁目3-14 日本生命靖国九段南ビル4F,https://ccg-crep.jp/
51,株式会社CeiRyu,2023年,太田　智之,5-9人,大阪府大阪市中央区南本町1-5-7　ACN堺筋本町ビル 5F,https://ceiryu.tech/
52,株式会社GROWS,2014年,島田忍,10-29人,東京都千代田区神田司町2-4 ME神田司町ビル2F,https://grows-net.com
53,有限会社ムウプロモート,2002年, - ,10-29人,東京都千代田区神田小川町2-6-12 東観小川町ビル6F,http://www.mu-promote.co.jp/
54,株式会社 テー・オー・ダブリュー,1976年, - ,100-499人,東京都港区虎ノ門四丁目3番13号 ヒューリック神谷町ビル3F,http://www.tow.co.jp/
55,橙デザイン株式会社,2020年, - ,5-9人,広島県広島市中区榎町5−14 榎町ビル2F,https://daidai-design.jp/
56,株式会社イクシム,2019年,井上 恭男, - ,兵庫県尼崎市神崎町25-8,https://ex-im.co.jp/
57,株式会社エフ・クレスト,1998年,半田　昌大,30-99人,東京都港区東麻布1-4-2　THE WORKERS & CO 2F,http://www.fcrest.co.jp/
58,株式会社ワイズインテグレーション,1998年, - , - ,東京都渋谷区千駄ヶ谷4-23-5 JPR千駄ヶ谷ビル7F,https://www.wise-int.co.jp/
59,株式会社サンケイ会館,1971年,箕輪千明,30-99人,東京都千代田区神田錦町1-19-1　神田橋パークビル2階,https://sankeikaikan.com/houjin/
60,株式会社アイ・コミューン,2005年, - ,5-9人,東京都千代田区神田小川町1-8-8 OCT KANDA Building 8F,https://www.i-comm.co.jp/
61,株式会社 NEO FLAG.,2011年, - ,30-99人,神奈川県横浜市都筑区中川1-22-14 美来空間ビル3F,http://event.neo-flag.com/
62,合同会社ギルド,2014年, - ,5-9人,東京都豊島区池袋2-62-1 PISO池袋801,https://guild-llc.com/
63,株式会社プラスワン・クリエイト,2010年, - ,1-4人,大阪府堺市北区北花田町3丁37-13,http://www.p1c-pr.co.jp/
64,株式会社スペースクリエイションズ,2016年, - ,1-4人,神奈川県川崎市麻生区上麻生4-4-3-202,http://space-creations.com/
65,株式会社シャフト,2020年, - ,5-9人,東京都品川区五反田1丁目2-41　菱和パレス島津山103号室,http://shaft-link.co.jp/
66,ワヨー株式会社,1982年, - ,100-499人,東京都台東区蔵前１丁目８－２,https://www.wayo.co.jp/
67,株式会社イベントプラス,2015年, - ,10-29人,東京都品川区西五反田8－8－16五反田高砂ビル703,https://event-plus.co.jp/
68,株式会社スピン,1970年,齊藤 康太,30-99人,東京都新宿区市谷本村町2番34号,https://www.spin-inc.co.jp/
69,株式会社イノベーションパートナーズ,2018年, - ,10-29人,東京都港区南麻布1-6-30,https://innovation-partners.jp/
70,株式会社パンスール,2008年,寺嶋　正浩,100-499人,大阪市中央区南船場3-7-27 NLC心斎橋6F,https://www.penseur.co.jp/
71,株式会社 The Light,2024年,尾崎大輔,1-4人,東京都北区豊島8-8-8,https://thelightforfilmandphoto.com/
72,株式会社TopKnock,2013年, - ,10-29人,〒150-0002 東京都渋谷区渋谷2-3-11 ラ・ネージュ青山5F,http://topknock.co.jp/
