No.,会社名,設立年,代表者名,従業員数,住所,会社URL
1,株式会社AIコミュニケーション,2012年, - ,30-99人,愛知県名古屋市中区錦3-16-27 栄パークサイドプレイス10F,https://ai-communication.jp/
2,株式会社ペンシル,1995年, - ,100-499人,福岡県福岡市中央区天神1丁目3-38 天神121ビル5F,https://www.pencil.co.jp
3,株式会社だんきち,2013年,与島 大樹,10-29人,大阪府摂津市正雀本町1-38-10-2F,https://dank-1.com/
4,株式会社KOP（ケーオーピー）,2017年, - ,1-4人,東京都大田区羽田1丁目6番13号,https://www.kop.co.jp/
5,株式会社アートピース,2008年,代表取締役  新井 哲雄,30-99人,東京都渋谷区恵比寿1-24-16 カルチェ恵比寿202,https://artpeace.jp/
6,株式会社ＬＩＨ,2016年,出利葉貴弘,5-9人,福岡県福岡市中央区天神1丁目1-1 fabbitGGアクロス福岡1F,https://lih.co.jp/
7,一般社団法人Honmono協会,2019年, - ,30-99人,東京都渋谷区恵比寿西1丁目33番6号,https://www.honmono-movie.com
8,株式会社リアライズ,2014年, - ,30-99人,東京都新宿区西新宿4-15-3 住友不動産西新宿ビル3号館4階,https://to-realize.jp/hp/
9,6666666（セブンシックス）,2012年, - , - ,静岡県裾野市岩波121-4,https://www.6666666.jp/
10,株式会社花のや,2014年,花岡正和,10-29人,愛知県名古屋市中区栄2-14-5 山本屋本店栄ビル7階,https://www.hanano-ya.jp/
11,有限会社スタジオリベルタ,2000年, - , - ,愛知県蒲郡市神明町東41番地,https://www.6660.net/
12,株式会社アットライズ,2001年, - , - ,神奈川県横浜市西区高島2-11-2 スカイメナー横浜2F,https://www.attrise.com/
13,株式会社Acsport, - ,竹田忠功,30-99人,東京都千代田区丸の内1-11-1 パシフィックセンチュリープレイス丸の内13階,https://acsport.net/
14,株式会社イデアルデザイン,2003年, - ,5-9人,東京都港区港南1-8-15　Wビル2F LIBPORT WEST,https://ideal-design.co.jp/
15,フロンティアビジョンスタジオ,2016年, - ,100-499人,熊本県熊本市南区江越2丁目24−1,http://www.fvs-net.co.jp/
16,株式会社ザクロ,2002年,藤下　忠文,10-29人,愛知県名古屋市中区丸の内3-17-6　ナカトウ丸の内ビル6F,https://xacro.jp/
17,株式会社Alfree,2013年,秋澤幸太郎,5-9人,宇田川町３６−６ワールド宇田川ビル7F,https://alfree.net
18,株式会社ULM,2008年, - ,5-9人,東京都港区南青山5−18−10-202,https://ulm-design.com/
19,トエビス株式会社,2011年,富田佳成,10-29人,愛媛県松山市平和通3丁目2-9,https://www.toebisu.jp/
20,株式会社LOM,2021年,高橋　賢,10-29人,京都府京都市下京区⽟津島町294,https://lom.fan/
21,株式会社イーキュースリーデザインユニット,2007年,森井真一郎,1-4人,兵庫県姫路市広畑区西蒲田1697,https://eq3.co.jp/
22,株式会社KOKOROMI,2014年,高井　正人,5-9人,静岡県浜松市中央区砂山町355-5 2階,https://kokoromi.co.jp/
23,株式会社ソテルIT企画,2023年,深川 昌実,10-29人,愛知県名古屋市東区東大曽根町29-11共栄ビル 東棟7階,https://soter.jp/
24,株式会社グラフィティー,2010年,松尾憲司,5-9人,大阪府大阪市北区大深町３−１ グランフロント大阪 北館 7F,https://graphity.co.jp/
