No.,会社名,設立年,代表者名,従業員数,住所,会社URL
1,富士通株式会社,1935年, - ,1000人以上,神奈川県川崎市中原区上小田中4-1-1,https://global.fujitsu/ja-jp/
2,株式会社テラスカイ,2006年, - , - ,東京都中央区日本橋二丁目11番2号 太陽生命日本橋ビル 15～17階,https://www.terrasky.co.jp/
3,株式会社日立ソリューションズ,1970年,山本 二雄,1000人以上,東京都品川区東品川四丁目１２番７号,https://www.hitachi-solutions.co.jp/
4,SCSK株式会社,1969年, - ,1000人以上,東京都江東区豊洲3-2-20豊洲フロント,https://www.scsk.jp/
5,クオリカ株式会社,1982年, - ,500-999人,東京都新宿区西新宿8-17-1住友不動産新宿グランドタワー23F,http://www.qualica.co.jp/
6,JBCCホールディングス株式会社,1964年, - ,1000人以上,東京都大田区蒲田5-37-1 ニッセイアロマスクエア 15階,https://www.jbcchd.co.jp/
7,日本電気株式会社,1899年,新野　隆／森田　隆之,1000人以上,東京都港区芝五丁目7番1号,https://jpn.nec.com/
8,株式会社電通国際情報サービス,1975年, - ,1000人以上,東京都港区港南2-17-1,https://www.isid.co.jp/
9,株式会社NTTデータ,1988年,本間　洋,1000人以上,東京都江東区豊洲3-3-3豊洲センタービル,http://www.nttdata.com/
10,マジックソフトウェア・ジャパン株式会社, - , - , - ,東京都新宿区北新宿二丁目21番1号 新宿フロントタワー24階,https://www.magicsoftware.com/ja
11,クラスメソッド株式会社,2004年, - ,500-999人,東京都港区西新橋1-1-1 日比谷フォートタワー26階,https://www.classmethod.jp/
12,ユーザックシステム株式会社,1971年,石井　伸郎,100-499人,日本橋箱崎町4-3 国際箱崎ビル4F,http://www.usknet.com/
13,リコージャパン株式会社,1959年, - ,1000人以上,東京都港区芝3-8-2 芝公園ファーストビル,https://www.ricoh.co.jp/
14,VISH株式会社,2004年, - ,10-29人,愛知県名古屋市錦二丁目10番13号　SC錦ANNEX 5F,https://www.vish.co.jp/
15,シナゲート株式会社,2006年,梅原　健,10-29人,東京都千代田区東神田3-6-6　メビュウス高島 2F,https://www.synergate.co.jp/
16,株式会社シーエーシー,2014年, - ,1000人以上,東京都中央区日本橋箱崎町24番1号,http://www.cac.co.jp/
17,株式会社いえらぶGROUP,2008年, - ,500-999人,東京都新宿区西新宿2-6-1 新宿住友ビル50階,https://www.ielove-group.jp/
18,ペパコミ株式会社,2017年, - ,5-9人,東京都中央区日本橋兜町17番2号,https://pepacomi.com/
19,株式会社NTTデータビジネスシステムズ,2011年, - ,1000人以上,東京都豊島区東池袋一丁目18番1号 Hareza Tower 32階,http://www.nttdata-bizsys.co.jp/
20,サイバーソリューションズ株式会社,2000年, - ,30-99人,東京都港区三田3-13-16三田43MTビル8F,https://www.cybersolutions.co.jp/
21,株式会社ディー・ディー・エス, - , - , - ,愛知県名古屋市中区丸の内三丁目6番41号 DDSビル7階,http://www.dds.co.jp/
22,株式会社システナ,1983年, - ,1000人以上,東京都港区海岸1丁目2番20号　汐留ビルディング 14F・16F,http://www.systena.co.jp/
23,GMOメイクショップ株式会社,2004年,向畑　憲良,100-499人,東京都渋谷区桜丘町26-1 セルリアンタワー,https://www.makeshop.co.jp/
24,株式会社ゴーガ,2006年, - , - ,東京都渋谷区渋谷3-6-3 清水ビル10F,https://www.goga.co.jp/
25,株式会社ニッセイコム,1974年, - ,500-999人,東京都中央区日本橋室町2-1-1 日本橋三井タワー 11F,https://www.nisseicom.co.jp
26,株式会社ネオインデックス,1999年, - , - ,東京都豊島区南池袋3-13-17　MASHITA5ビル 3F,https://www.neoindex.co.jp/
27,株式会社Fusic,2003年, - , - ,福岡県福岡市中央区天神4-1-7 第3明星ビル6F,https://fusic.co.jp/
28,チームラボ株式会社,2001年, - ,1000人以上,東京都千代田区神田小川町2-12 小川町進興ビル 受付 6階,https://www.team-lab.com/
29,株式会社ビジネス・アソシエイツ,1987年, - ,30-99人,東京都港区芝4-3-5ファースト岡田ビル7F,https://www.ba-net.co.jp/
30,株式会社L is B,2010年, - ,30-99人,東京都千代田区岩本町三丁目11番11号 プルータスビル2F,https://l-is-b.com/ja/
31,株式会社アドヴァンスト・インフォーメイション・デザイン,1980年, - ,500-999人,長野県松本市梓川倭3820-1,https://www.a-i-d.co.jp/
32,株式会社スカイアーク,2004年, - ,100-499人,東京都千代田区丸の内3-2-2 丸の内二重橋ビル,https://www.skyarc.co.jp/
33,JFEシステムズ株式会社,1983年, - ,1000人以上,東京都港区芝浦1丁目2-3 シーバンスS館（受付18F）,https://www.jfe-systems.com/
34,合同会社Solashi Japan,2022年,島添　彰,30-99人,東京都渋谷区桜丘町18-4　billage SHIBUYA 二宮ビル1F,https://solashi.com/ja/
35,キヤノンITソリューションズ株式会社,1982年, - ,1000人以上,東京都港区港南2-16-6 キヤノン S タワー,https://www.canon-its.co.jp/
36,株式会社システムエグゼ,1998年,大場 康次,500-999人,東京都中央区日本橋室町3-4-4 OVOL日本橋ビル7階,https://www.system-exe.co.jp/
37,株式会社ソニックガーデン,2011年, - , - ,東京都大田区田園調布2-14-5,https://www.sonicgarden.jp/
38,パーソルAVCテクノロジー株式会社,1997年, - ,500-999人,大阪府高槻市幸町1番1号,https://www.persol-avct.co.jp/
39,クラウドエース株式会社,2016年, - , - ,東京都千代田区大手町 1-7-2　東京サンケイビル 26階,https://www.cloud-ace.jp/
40,株式会社パイプドビッツ,2000年, - ,100-499人,東京都港区赤坂 2丁目9番11号　オリックス赤坂2丁目ビル（受付2Ｆ）,https://www.pi-pe.co.jp/
41,株式会社ブレイン・ラボ,2002年, - , - ,東京都港区虎ノ門3丁目4-8,https://www.brainlab.co.jp/
42,株式会社テンダ,1995年,小林 謙,100-499人,東京都渋谷区渋谷2-24-12 WeWork 渋谷スクランブルスクエア内,https://www.tenda.co.jp/
43,エクスウェア株式会社,1995年, - , - ,東京都港区芝浦4丁目2-8　住友不動産三田ツインビル東館5階,https://www.xware.co.jp/
44,株式会社アリウープ,2011年, - ,10-29人,東京都千代田区神田須田町1-5 翔和須田町ビル4F,https://www.alleyoop.co.jp/
45,ウイングアーク1st株式会社,2004年,田中　潤,500-999人,東京都港区六本木三丁目2番1号 六本木グランドタワー,https://www.wingarc.com/
46,株式会社FCEプロセス&テクノロジー,2015年,永田　純一郎,30-99人,東京都新宿区西新宿2丁目4番1号 新宿NSビル10階,https://fce-pat.co.jp/
47,株式会社サーバーワークス,2000年, - ,100-499人,東京都新宿区揚場町1番21号 飯田橋升本ビル2階,https://www.serverworks.co.jp/
48,ヤマトシステム開発株式会社,1973年, - ,1000人以上,東京都中央区晴海1-8-11　晴海アイランドトリトンスクエアオフィスタワーY棟,https://www.nekonet.co.jp/
49,ドクターキューブ株式会社,2001年, - ,100-499人,大阪府大阪市北区中之島2-3-18　中之島フェスティバルタワー18F,http://jtc.doctorqube.com/
50,株式会社永和システムマネジメント,1980年, - ,100-499人,福井県福井市問屋町3丁目111番地,https://www.esm.co.jp/
51,株式会社アイディーエス,1996年, - ,100-499人,東京都港区芝2-3-18YM芝公園ビル5階,http://www.ids.co.jp/
