No.,会社名,設立年,代表者名,従業員数,住所,会社URL
1,株式会社Rit（リット）,2013年,高橋 朋也,5-9人,埼玉県さいたま市北区本郷町305　R-Space,https://rit.jp/
2,株式会社エスグロー,2002年,瀬川　雅矢,30-99人,琴ノ緒町２丁目２番１号 三経イーストビル ３階,http://www.s-grow.co.jp/
3,株式会社Manent,2022年,久世大貴,100-499人,七条通油小路東入大黒町227番地 第2キョートビル402,https://manent.net/
4,株式会社リブクリエイション,2007年, - ,30-99人,千葉県柏市箕輪758-3,https://www.livcreation.jp
5,株式会社ロジ・クム,2024年,阿部直仁,10-29人,築港八幡町1-171 MFLP堺 401,https://logi-kumu.co.jp/
6,アシストライン株式会社,2014年, - ,10-29人,大阪府東大阪市吉原２丁目６番１１号,https://www.osaka-line.com/
7,株式会社富士ロジテックホールディングス　浜松事業部,1918年,鈴木　庸介,500-999人,静岡県浜松市東区上石田町956-1,http://www.fujilogi.co.jp
8,株式会社LOGI・フロー,2016年, - ,30-99人,福岡県糟屋郡篠栗町和田東浦550-1,https://logi-flow.co.jp/
9,公徳運輸株式会社, - , - ,30-99人,東京都練馬区谷原4-7-20,https://www.koutoku-tr.co.jp
10,株式会社ＡＺプランニング,2010年, - ,1-4人,東京都江戸川区臨海町4-3-1　葛西トラックターミナル11号棟,http://www.azplanning.jp/
11,株式会社ウィズリンクス,2015年, - ,30-99人,大阪府大阪市中央区西心斎橋1丁目13-18 6F,https://hanro-plus.jp/
12,SBSロジコム株式会社,1940年,鎌田 正彦,1000人以上,東京都新宿区西新宿8-17-1 住友不動産新宿グランドタワー25階,https://www.sbs-logicom.co.jp/
13,株式会社 三鷹倉庫,1964年, - ,100-499人,大阪市生野区巽西1丁目9番26号,http://www.mitaka-soko.co.jp/
14,株式会社 シンワ・アクティブ,1972年,澤田　一,30-99人,大阪府茨木市松ヶ本町2-30,https://www.shinwa-active.co.jp/
15,TOPPANロジスティクス株式会社,1988年,山野 泰彦,500-999人,東京都板橋区小豆沢1丁目16番5号,https://www.logi.toppan.com/
16,株式会社ムービングサポート,2006年, - ,30-99人,福岡県糟屋郡新宮町立花口405-1,http://www.moving-support.co.jp/
17,VALT JAPAN株式会社,2014年,小野 貴也,30-99人,東京都千代田区丸の内2-2-1 岸本ビル7F xLINKパレスフロント丸の内,https://www.valt-japan.com/
18,株式会社サーガ,1984年,深澤　一紀,100-499人,大阪府大阪市中央区南本町1-2-7,http://www.rg-saga.co.jp/company/outline/
19,ナガセテクノサービス株式会社,1991年, - ,100-499人,千葉県流山市駒木529,https://group.nagase.com/nagase-techno-service/
20,鈴与株式会社,1936年, - ,1000人以上,静岡県静岡市清水区入船町11-1,https://www.suzuyo.co.jp/
21,アイシーエクスプレス株式会社,1960年,谷口　亮,100-499人,東京都大田区昭和島2丁目4番1号,https://www.iec-exp.co.jp
22,株式会社タスコ,2009年,恒川敦郎,30-99人,愛知県名古屋市港区３－１－１,http://www.tasjp.net/
23,株式会社後藤回漕店,1921年,後藤　平八郎,100-499人,兵庫県神戸市海岸通3丁目2番1号,https://www.kaisoten.co.jp/
24,株式会社エーケーカンパニー,2013年,椿　淳,10-29人,福岡県古賀市⽞望園14-1 ロジフラッグ古賀,https://akcompany.info/
25,株式会社イー・ロジット,2000年, - ,1000人以上,東京都千代田区神田練塀町68番地ムラタヤビル5階,https://ec-bpo.e-logit.com
26,株式会社クボモト,1971年,久保本 篤,30-99人,神奈川県横浜市中区太田町6-86　オーパリヴァージュ701,https://www.kubomoto.co.jp/
27,大阪デリバリー株式会社,1978年, - ,100-499人,大阪府箕面市船場東2丁目1番20号　ABCビル7階,https://shop-logi.com/
28,株式会社3Qパック＆ヒューマン,2007年,江里口利博,30-99人,群馬県太田市新田下江田町355-1,https://www.3qpack.com/
29,株式会社タナカ流通企画,1996年,田中　繁,10-29人,神奈川県厚木市戸室1-33-7,https://www.tanakaryuutsuu.co.jp/
30,株式会社地区宅便,1980年,鎌田　光男,500-999人,千葉県千葉市大野台2-6-15,https://www.tikutakubin.co.jp/
31,株式会社清長, - , - , - ,東京都千代田区神田駿河台2-1-20お茶の水ユニオンビル3F,https://www.seicho-inc.jp/
32,株式会社グロップ,1975年, - ,500-999人,岡山県岡山市中区さい東町2-2-5,https://www.grop.co.jp/
33,ＪＢサービス株式会社,2007年, - ,100-499人,東京都中央区八重洲二丁目２番１号　東京ミッドタウン八重洲　八重洲セントラルタワー13階,https://www.jbsvc.co.jp/
34,株式会社関根エンタープライズEXT,2011年, - ,10-29人,神奈川県綾瀬市深谷中８－９－３,https://www.sep1996.co.jp/company/ext/
35,興菱梱包運輸株式会社,1949年,小髙　正樹,100-499人,神奈川県川崎市幸区北加瀬1-15-5,http://www.koryo-ds.co.jp/
36,株式会社メガ・ワールド,2000年, - ,30-99人,篠崎町1-14-5,https://www.megalo.co.jp/about/
37,ディーエムソリューションズ株式会社,2004年,花矢卓司,100-499人,東京都武蔵野市御殿山1-1-3 クリスタルパークビル2F,https://ul-logi.jp/service/ec-logistics/
38,日本自動車ターミナル株式会社,1965年,藤田　裕司,30-99人,東京都千代田区平河町二丁目7番9号JA共済ビル11階,https://www.j-m-t.co.jp/
39,メールセンター株式会社,2011年, - ,30-99人,千葉県流山市駒木569-1,http://mailcenter.co.jp
40,株式会社STOCKCREW,2018年, - ,30-99人,神田小川町3-7-15ボナ神田小川町ビル７階,https://stockcrew.co.jp/
41,株式会社ミドルエイト,2022年, - ,1-4人,埼玉県狭山市水野392-1,http://www.middle-eight.jp/
42,船井総研ロジ株式会社,2000年, - ,100-499人,東京都千代田区丸の内1-6-6　日本生命丸の内ビル22階,https://www.f-logi.com/
43,MDL株式会社, - , - ,30-99人,茨城県石岡市府中1丁目5-12 カーニープレイス石岡5階,https://mdlogi.co.jp/
44,株式会社redect,2006年, - ,30-99人,東京都羽村市神明台３丁目１番地８,http://www.redect.jp/
45,株式会社大森廻漕店,1921年,須藤　明彦,100-499人,兵庫県神戸市中央区東町123番地の1,http://www.omori-kaisoten.jp/
46,株式会社フレイトリンクスジャパン,2011年, - ,30-99人,大阪府大阪市中央区南船場4-7-21-303,http://www.freightlinks.jp/index.html
47,ノース・モール株式会社,1986年, - , - ,東京都中央区東日本橋3-4-18　東日本橋EXビル 8F,https://www.northmall.com/
48,株式会社ゲートオンロジスティクス,2006年,小笠原 伸恭,100-499人,埼玉県戸田市新曽1662,http://www.gate-on.co.jp
49,ディーエムソリューションズ株式会社,2004年,花矢　卓司,500-999人,本社 東京都武蔵野市御殿山1-1-3  クリスタルパークビル2F,http://www.dm-s.co.jp/
50,トーヨーエキスプレス株式会社,1953年,佐藤 雄平,100-499人,東京都大田区矢口3-7-13,http://www.toyo-express.jp/
51,VSM PARTNERS合同会社,2021年, - ,1-4人,神奈川県相模原市緑区上九沢350-8 上九沢ビル3階,https://www.vsmpartners.com/
