No.,会社名,設立年,代表者名,従業員数,住所,会社URL
1,株式会社ライズ・ビデオ・エイテイ,1980年,上田 明,30-99人,東京都豊島区池袋3-26-14,https://risevideo.co.jp/
2,一般社団法人Honmono協会,2019年, - ,30-99人,東京都渋谷区恵比寿西1丁目33番6号,https://www.honmono-movie.com
3,株式会社OS工芸社,1991年, - , - ,東京都新宿区市谷本村町3-19 千代田ビル3F,https://www.os-art.com/
4,合同会社ファニプロ,2009年, - ,10-29人,東京都杉並区南荻窪4-29-10　田丸ビル306,http://www.funnypro.net/
5,株式会社モーション・ビジュアル・ジャパン,2007年, - , - ,愛知県西尾市大給町106番地2,https://www.d-pv.jp/
6,株式会社ピアワークス,2009年, - , - ,愛知県豊橋市中柴町１２番地,https://piaworks.com/
7,株式会社GoGoMarke,2018年,松本博房,5-9人,東京都世田谷区宇奈根2-5-11,https://www.gogomarke.jp
8,株式会社TMエンタープライズ,2011年,杉本 尚丈,5-9人,福岡市中央区那の川2-7-2-504,http://tm-en.com/
9,株式会社HOME360, - , - , - ,神奈川県鎌倉市山ノ内1172-5,http://home360.co.jp/
10,株式会社 テー・オー・ダブリュー,1976年, - ,100-499人,東京都港区虎ノ門四丁目3番13号 ヒューリック神谷町ビル3F,http://www.tow.co.jp/
11,株式会社ウェルツアニメーションスタジオ,2005年, - ,10-29人,東京都港区芝浦3丁目14-8 芝浦ワンハンドレッドビル4F,http://www.welzanimation.com/
12,株式会社イニシエ,2017年,金谷　祥久,5-9人,大阪府大阪市中央区東心斎橋1-6-27 朝日プラザ心斎橋東7階,https://initie.co.jp/
13,カルチュアルライフ株式会社,2018年, - ,10-29人,東京都文京区本郷1-4-4　水道橋ビル5F,https://culturallife.co.jp/
14,株式会社LOCUS,2010年, - ,30-99人,東京都千代田区内幸町2丁目1-6日比谷パークフロント18階,https://www.locus-inc.co.jp
15,Crevo株式会社,2012年,柴田 憲佑,30-99人,東京都港区六本木4丁目8-5 和幸ビル502,https://crevo.jp/
16,株式会社impactTV,1986年,川村雄二,30-99人,東京都渋谷区渋谷2-12-19 東建インターナショナルビル 8階,https://impacttv.co.jp/
17,株式会社ビットセンス,2004年, - ,10-29人,愛知県名古屋市中区丸の内三丁目21番25号 清風ビル8F南,https://www.bitsense.co.jp/
18,株式会社リチカ,2014年, - , - ,東京都渋谷区東3-9-19　VORT恵比寿maxim 11F,http://cocktail-make.com/
19,株式会社ピクルス,2003年, - , - ,東京都新宿区四谷1丁目7 第3鹿倉ビル5F,http://pickles.tv/
20,株式会社 MAD PRODUCTION,2007年, - ,10-29人,新潟県新潟市中央区幸町13-12 stageRビル2F,https://web-mad.com/
21,合同会社SOAR,2016年,富田　翔,5-9人,兵庫県神戸市八幡通4丁目1-6上月ビル302,https://soar0620.com/
22,株式会社DAY ONE,2020年, - ,10-29人,東京都渋谷区千駄ヶ谷3-15-3,https://day-one.club/
23,合同会社マークス・ブランディング,2015年, - , - ,群馬県高崎市新保田中町,https://marksbranding.com/
24,株式会社アドップ,2001年, - ,30-99人,東京都千代田区外神田2-17-3　アヤベビル5F,https://www.adop.co.jp/
25,studium.design, - , - , - ,千葉県千葉市花見川区幕張本郷2-5-1-111,https://studium-design.jp/
26,株式会社DeSIGNPLUS,2012年, - , - ,大阪府大阪市北区西天満3-7-15　HS西天満ビル5F,https://www.design-plus.org/
27,株式会社火燵,2009年,安部 貴士,5-9人,香川県綾歌郡宇多津町186番地5,https://kotatsu.info/
28,elephant design株式会社,2013年,枡本　洋典,10-29人,東京都品川区東五反田5-25-19東京デザインセンター5F,http://www.elephant-design.com/
29,株式会社デジタル・ナレッジ,1995年, - ,100-499人,東京都台東区上野5-3-4　eラーニング・ラボ 秋葉原,https://www.digital-knowledge.co.jp/
30,株式会社トランジスタハウス,2007年,スズキノブヨシ,1-4人,東海岸町１２ - ３０-502,https://docs.google.com/presentation/d/1_FKOreL01GKXkBE-Kd-L-133WTRnVMso6dC0h910lSk/edit?usp=sharing
31,PineValley.jp,2021年,松谷彰大,1-4人,大阪市西成区花園南2-8-28	南海ハイライズフラット天下茶屋６０５,https://pinevalley.jp/
32,ピクシディア株式会社,2010年, - ,5-9人,東京都港区新橋1-18-21 第一日比谷ビル5F,https://pixidea.co.jp/
33,CREED BANK株式会社,2016年,磯田 幸四郎,10-29人,東京都豊島区西池袋5-14-8 東海池袋ビル8階,https://creedbank-design.com/
34,特定非営利活動法人リテル,2022年,小川絵里衣, - ,東京都豊島区東池袋4-29-6 4F,https://www.nporetell.or.jp/
35,株式会社ニューステラ,2016年, - ,10-29人,岡山県倉敷市宮前287-75,https://newstella.co.jp/
36,株式会社サムシングファン,2003年,薮本　直樹,30-99人,東京都千代田区神田錦町3-1 オームビル本館2階,https://www.somethingfun.co.jp/
37,株式会社ジェー・ピー・シー,1994年, - ,30-99人,京都府京都市下京区富小路通高辻下る恵美須屋町193番地,https://www.jpc-ltd.co.jp/
38,株式会社エレファントストーン,2011年, - ,30-99人,東京都渋谷区猿楽町2-1アベニューサイド代官山Ⅲ 5F,http://elephantstone.net/company/
39,株式会社プルークス,2015年,松浦　寛之,30-99人,東京都中央区日本橋大伝馬町14－17大伝馬町千歳ビル４階,http://proox.co.jp/
40,株式会社コムネット,1988年, - , - ,東京都文京区本郷3-3-11IPB御茶ノ水ビル9Ｆ,https://www.comnet-co.com/
41,株式会社ワンダフルドア,2020年,小堤洋太郎,10-29人,埼玉県さいたま市南区南浦和３丁目３−１７ 豊曜ビル 2F,https://wonderful-door.jp/
42,SPECTRUM株式会社,2020年,豊田聖宇,10-29人,東京都新宿区左門町14-61フォルム四谷外苑東 607,http://spectruminc.io
43,株式会社 Global Japan Corporation,2011年, - , - ,北海道札幌市中央区北1条西10丁目1番4号　北1条サンマウンテンビル2階,https://gjc.me/
44,株式会社スカイトップ,2010年, - , - ,東京都新宿区高田馬場4-4-13 ALPSビル高田馬場4F,https://skytop.co.jp/
45,有限会社円陣（えんじん）,2003年, - ,10-29人,兵庫県神戸市中央区港島中町6-9-1　神戸国際交流会館７F,https://yengin-dougado.jp/
46,株式会社ブイキューブ,1998年, - ,100-499人,東京都港区白金一丁目17番3号　NBFプラチナタワー16階（受付）、17階,https://jp.vcuve.com/
47,株式会社Fabric Arts,2007年, - , - ,広島県広島市中区紙屋町2-1-22　広島興銀ビル9F,https://www.fabric-arts.co.jp/
48,有限会社カンノ・カンパニー, - , - , - ,東京都三鷹市下連雀3-38-13-1001,https://douga-seisakusho.com/
49,株式会社HomePageShop,2010年,渡邊一弘,10-29人,愛知県名古屋市天白区植田3丁目1507 レスカールＫ 3F Ｎ号室,https://hp-shop.co.jp/
50,株式会社アトヨンサウンドファクトリー,2015年, - , - ,東京都武蔵野市吉祥寺南町2-10-14 ベル吉祥寺B1F,https://ato4sound.com/
51,右脳事件株式会社,2004年, - , - ,東京都渋谷区千駄ヶ谷2-3-7 POOL 2F,https://www.unou-jikenn.co.jp/
52,株式会社パラドックス,2001年, - ,30-99人,東京都港区北青山3-5-15 ミヤヒロビル10F,https://prdx.co.jp/
53,株式会社ヴェン.カンパニー,2010年, - , - ,東京都渋谷区道玄坂1-2-3 渋谷フクラス17階,https://www.ven-company.co.jp/
54,株式会社ランニング,2009年, - ,5-9人,福岡県福岡市中央区警固１丁目１５番６号 ＫＨ２２ビル ６Ｆ,https://www.running2009.com/
55,株式会社GBY,2017年,田島謙,1-4人,東京都足立区伊興4-10-22グロリヤ田島301,https://gby.jp/
56,Coalition株式会社,2020年,高橋 慧,30-99人,東京都目黒区東山３丁目７-１１ 大橋会館オフィス room204,https://coalition.co.jp/
57,有限会社コットンウール,1998年, - ,1-4人,愛知県名古屋市千種区仲田 2-17-21 B.B池下ビル 5B,https://www.cottonwool.jp
58,株式会社ファングリー,2020年,松岡 雄司,30-99人,東京都渋谷区南平台町15-13 帝都渋谷ビル5F,https://fungry.co.jp/
59,株式会社ファーストトーン,2008年, - ,10-29人,大阪府大阪市中央区北久宝寺町1-9-6ネオフィス堺筋本町301号,https://first-tone.net/
60,株式会社アッシュ,1998年, - ,10-29人,東京都千代田区丸の内1丁目8番3号丸の内トラストタワー本館20階,https://a-sh.co.jp/
61,株式会社seveN Swell,2014年, - , - ,北海道札幌市中央区南13条9丁目1番3,https://www.seven-swell.hokkaido.jp/
62,株式会社ワールド,2010年, - ,10-29人,【東京】東京都港区港南１丁目9-36 13階　【大阪】大阪府大阪市都島区都島北通1-4-21-603,https://vision-world.biz
63,株式会社TASUKE,2023年,矢田佐江子,10-29人,〒160-0023 東京都新宿区西新宿4丁目15-3 住友不動産西新宿ビル3号館 7階,https://tasuke.inc/
64,株式会社クロスウィッシュ,2011年, - , - ,京都府京都市中京区油小路三条上ル宗林町98英守ビル211,https://www.crosswish.com/
65,株式会社FRIGG ENTERPRISE,2018年,長戸和也,10-29人,東京都新宿区市谷砂土原町2丁目7-19 田中保全ビル5階E室,https://friggenterprise.jp/
66,株式会社VECKS,2011年,田島　剛,30-99人,東京都港区南青山1-15-18リーラ乃木坂 6階,https://vecks.jp/
67,モバーシャル株式会社,2007年, - , - ,東京都渋谷区恵比寿南2-23-17 MOBERCIAL BLDG.,https://www.mobercial.com/
68,株式会社GROOMIX,2005年,菅井浩二,5-9人,東京都目黒区上目黒2-44-3  MGフラッツ401,https://www.groomix.co.jp
69,株式会社ArtEdit, - , - , - ,愛知県名古屋市東区泉二丁目28番24号 東和高岳ビル3Ｆ,https://artedit-j.com/
70,株式会社VSQ,1978年, - ,100-499人,福岡県福岡市早良区百道浜2-3-35,https://vsq.co.jp
71,株式会社大日,1966年,谷川 竜之,10-29人,東京都中央区築地1-7-10コンワビル6F,https://www.dai-nichi.co.jp/
72,株式会社アンダーバー,2014年,小出　晃,10-29人,東京都渋谷区渋谷1-2-10　中里ビル3F,https://www.underbar-inc.com/
73,株式会社ACT,2009年,佐藤太希,1-4人,北海道室蘭市港北町3-6-7,https://www.act-group.co.jp/
74,株式会社祭,2000年, - ,10-29人,東京都港区南青山3-2-5南青山シティビル4F,http://www.mazri.com/
75,株式会社アノマリー,2004年,神田 勘太朗,10-29人,東京都渋谷区千駄ヶ谷1-13-3 カリスマヒルズレジデンス国立競技場前,https://www.anomaly.co.jp
76,株式会社VIDWEB,2018年,山畑　達也,10-29人,東京都渋谷区神宮前二丁目18番19号 the Folks 4E,https://vidweb.co.jp/
77,株式会社グラッドキューブ,2007年, - ,100-499人,大阪府大阪市中央区瓦町2-4-7 新瓦町ビル 8F,https://www.glad-cube.com/
