No.,会社名,設立年,代表者名,従業員数,住所,会社URL
1,株式会社ウィニングフィールド,2014年, - ,10-29人,神奈川県鎌倉市御成町11-2 ヤノヤビル2階,https://winningfield.net/
2,株式会社レッツアイ,2009年,林　智宏,30-99人,大阪市北区西天満2-6-8 堂島ビルヂング,https://www.lets-marke.com/
3,ダッシュボード株式会社,2013年,古明地 直樹,10-29人,東京都渋谷区神宮前1-5-8 神宮前タワービルディング14 階,http://dash-b.co.jp/
4,株式会社Reinolz,2014年,織畠宗典,30-99人,東京都港区南青山2丁目2番15号,https://reinolz.co.jp/
5,株式会社 アピリッツ,2000年,和田 順児,500-999人,桜丘町1番1号 渋谷サクラステージ SHIBUYAタワー 24階,https://appirits.com/
6,シンク株式会社,2006年, - ,10-29人,東京都渋谷区恵比寿南2-9-8 落合荘苑ビル 3階（4A/4B）,https://shin-c.jp/
7,株式会社コンセプトラボ,2017年,北崎　圭史,30-99人,東京都台東区元浅草2-6-6 東京日産台東ビル8階,https://conlad.co.jp/
8,株式会社Crevalue,2022年, - ,5-9人,東京都渋谷区神宮前6-23-4-2, - 
9,plus work株式会社,2023年, - ,10-29人,京都府京都市下京区高辻大宮町110-7 宇田ビル4F,https://plusconnection.co.jp/
10,デジタルアスリート株式会社,2011年,長橋真吾,100-499人,東京都新宿区西新宿6-24-1西新宿三井ビルディング4階,https://ppc-master.jp/
11,株式会社TASUKE,2023年,矢田佐江子,10-29人,〒160-0023 東京都新宿区西新宿4丁目15-3 住友不動産西新宿ビル3号館 7階,https://tasuke.inc/
12,株式会社YOAKE,2020年,山田翔大,5-9人,東京都世田谷区北沢2-6-2  ミカン下北 B街区 5F,https://yoake-tokyo.jp
13,Start-X合同会社,2019年,山口偉大,10-29人,東京都渋谷区渋谷2-19-15 宮益坂ビルディング609,https://start-x.work/
14,株式会社D-innovation,2020年, - ,10-29人,東京都渋谷区神南１丁目５−４ ロイヤルパレス原宿７０１,https://dinnovation.jp/
15,株式会社オン・ザ・プラネット,2009年, - ,100-499人,東京都町田市南成瀬1-2-2 OSJ成瀬ビル３Ｆ,https://o-t-p.co.jp/socialmedia/
16,Around the Peace株式会社,2022年,松本　周平,1-4人,千葉県我孫子市中峠 - 1662,https://aroundthepeace.com/
17,ソフトコミュニケーションズ株式会社,2005年,秋葉　薫,30-99人,東京都新宿区新宿1-8-1	大橋御苑駅ビル3階,https://www.sofcom.co.jp/
18,株式会社Monoridge,2017年, - ,5-9人,東京都目黒区東山3丁目6番8号 エクセル東山308,https://monoridge.co.jp/
19,株式会社TecPotato,2022年, - ,30-99人,東京都渋谷区道玄坂１丁目 １０-８ 渋谷道玄坂東急ビル2F-C,https://tecpotato.jp/
20,株式会社ファーストネットジャパン,2004年,齊藤真也,10-29人,大阪府大阪市中央区南久宝寺町1-7-10  シャンクレール南久宝寺201,http://www.1st-net.jp/
21,株式会社アドライズ,2000年, - ,30-99人,福岡県福岡市中央区天神1-15-32 天神MTビル7階,https://www.adlize.com/
22,株式会社emon,2020年,末浪 大輔,5-9人,大阪市西区京町堀1-17-8　京ビル504,https://www.emon-d.jp/
23,Startramp（スタートランプ）株式会社,2020年, - ,5-9人,大阪府大阪市梅田2丁目2-2ヒルトンプラザウエストオフィスタワー19F,https://www.startramp.jp/
24,株式会社weroll,2019年,浅野 雄介,10-29人,東京都世田谷区北沢２丁目２１ - ２２,https://weroll.co.jp/
25,株式会社アーバンプロジェクト,2000年,三科啓児,100-499人,兵庫県神戸市中央区中町通2－2－18,https://urban-project.jp/
26,CURVA株式会社,2022年, - ,1-4人,東京都新宿区西新宿三丁目3番­13号 西新宿水間ビル6階,https://curva-web.com/
27,株式会社D-ing,2017年,大金 剛士,10-29人,"東京都渋谷区道玄坂1-22-12 和孝渋谷ビル 3F,4F",https://d-inginc.com/
28,特定非営利活動法人リテル,2022年,小川絵里衣, - ,東京都豊島区東池袋4-29-6 4F,https://www.nporetell.or.jp/
29,株式会社ENAS,2021年,金本賢,5-9人,東京都港区海岸1-7-1東京ポートシティ竹芝オフィスタワー8F,https://enas.jp/
30,KURO HOLDINGS株式会社,2020年,永山 博基,10-29人,東麻布1-3-8 TOWER FRONT神谷町9階,https://kuroholdgs.jp/
31,ディーエムソリューションズ株式会社,2004年, - ,100-499人,東京都武蔵野市御殿山1-1-3 クリスタルパークビル2F,http://hihyoujiURL1.jp
32,BPOテクノロジー株式会社,2017年,山田　真也,100-499人,東京都中央区銀座6-14-8 銀座石井ビル4F,https://bpo-tech.co.jp/
33,株式会社GASY,2020年,吉田 祐,10-29人,岩本町3-8-11 VORT秋葉原Ⅴ 6階,https://gasy.jp/
34,株式会社STORY,2015年, - ,5-9人,大阪府大阪市国分寺１丁目7-７　2F／3F,https://story-corp.jp/
35,株式会社ウェブリカ,2019年,石塚 直樹,10-29人,神奈川県横浜市中区弁天通2-25関内キャピタルビル401,https://webrica.jp/
36,ニューエイジ・ディー・シー株式会社,2020年,松岡貴英,10-29人,東京都渋谷区松濤1-28-2,https://newagedc.net/
37,株式会社トラックス,2011年,山下 温,10-29人,東京都渋谷区富ヶ谷1−19−4 代々木パークビル403,https://www.tlucks.co.jp/
38,トビラマーケティング,2016年,伊藤大智,1-4人,愛知県名古屋市,https://tour-travelworld.com/
39,株式会社MomentumYouth,2018年, - ,5-9人,東京都渋谷区渋谷2-19-15　宮益坂ビルディング609,https://momentum-youth.co.jp/
40,株式会社seica,2024年,藤田剛幸,5-9人,京都府京都市下京区 ⽟津島町294　414号,https://seica-growth.co.jp/
41,株式会社アンソリュート,2021年,仲田　卓矢,5-9人,東京都渋谷区恵比寿西一丁目16-4 長谷戸ビル6F,https://unsolute.co.jp/
42,LIVE THE CREATIVE 株式会社,2020年,中西光希,10-29人,東京都渋谷区南平台町15-15 南平台今井ビル8階,https://livethecreative.co.jp/
43,"株式会社センタード (CENTERED CO., LTD.)",2010年,平岡　悟,30-99人,東京都新宿区西新宿7-5-8 GOWA西新宿8F,https://www.centered.co.jp/
44,株式会社SGP,2020年, - ,5-9人,東京都新宿区西新宿6-12-7 ストーク新宿1F,https://sgp-net.com/
45,メディアクロス株式会社, - , - , - ,福岡県福岡市中央区白金1丁目15-20MC薬院3F,https://medi-cro.jp/
46,株式会社MATES,2020年, - ,10-29人,大阪府大阪市北区天神橋3丁目2-9 川那辺ビル7F,https://mates-promo.com/
47,株式会社アドクルー,2004年, - , - ,東京都中央区銀座3-11-18 眞帆ビル8F,https://www.adcrew.jp
48,株式会社ミカファンクション,2002年,三科  啓児,10-29人,東京都千代田区神田小川町3丁目3-2 マツシタビル5階,http://www.mika-f.co.jp/
49,合同会社ロケットボーイズ,2019年,河野 拓,5-9人,東京都品川区大崎4丁目1番7号	vacancy1階,https://rocket-boys.co.jp/overview/
50,UNiDigi（株式会社エヌケービー）,1948年,外谷　敬之,100-499人,東京都千代田区有楽町1-1-3 東京宝塚ビル,https://unidigi-exp.com/
