No.,会社名,設立年,代表者名,従業員数,住所,会社URL
1,株式会社エクシード,2013年,中嶋 秀樹,10-29人,宮城県仙台市太白区長町6-6-6 桂参番館 2F,http://t-exceed.com/
2,株式会社LINPS,2020年,常泉 隆太郎,10-29人,神奈川県相模原市相模大野7-35-1,https://linps.co.jp/
3,株式会社グラフィティー,2010年,松尾憲司,5-9人,大阪府大阪市北区大深町３−１ グランフロント大阪 北館 7F,https://graphity.co.jp/
4,特定非営利活動法人リテル,2022年,小川絵里衣, - ,東京都豊島区東池袋4-29-6 4F,https://www.nporetell.or.jp/
5,株式会社アスカ企画,1993年,佐藤　秀司,10-29人,東京都文京区本郷2-14-14 レジデンス本郷アコマ4F,https://asuka-plan.com/
6,Olive合同会社,2018年,坂井祐一、中澤沙織（共同代表）,5-9人,新潟県新潟市中央区紫竹山7-8-12,https://olive-niigata.com/
7,カエル・デザイン・プロジェクト株式会社,2017年, - ,30-99人,北海道小樽市新光２丁目21-17,https://kaeru.design/
8,合同会社MNET,2020年,森口孝太,5-9人,大阪府大阪市西区靭本町１丁目５－１８　Nanei本町ビル　502,https://mnet-company.co.jp/
9,青葉印刷株式会社,1959年,依藤哲也,30-99人,大阪府大阪市都島区中野町２丁目１０番１１号,https://aoba.co.jp/
10,かんさい広告サービス株式会社,2008年,森脇　剛成,5-9人,大阪府大阪市中央区久太郎町4-1-3 大阪御堂筋ビル・大阪センタービルB1F,http://kansai-kk.com
11,株式会社isana,2016年,大川教,1-4人,高知県高知市帯屋町2ー1ー38 KMTビル2F北,https://isana-adv.com/
12,株式会社ジマール,1979年,小野　登茂丸,10-29人,福岡県北九州市小倉北区船場町3-8,https://jimarl.jp/
13,株式会社 Creative office N,2022年,服部 高幸,10-29人,埼玉県八潮市南川崎532-1 リコテラスTX405号,https://n-inc.co.jp/
14,株式会社ボンズトラスト,2009年, - ,10-29人,東京都台東区浅草橋4-4-2 星和ビル2～4F,http://bondstrust.com/
15,吉岡印刷株式会社,1916年, - ,30-99人,奈良県葛城市柿本129,https://yoshioka-insatsu.co.jp/
16,株式会社ティル,1983年,中村　亜弓,10-29人,東京都豊島区南大塚3-1-12 生方ビル4Ｆ・5Ｆ,https://www.design-till.co.jp/
17,株式会社案と,2023年,渡邉 義彦,5-9人,愛知県名古屋市中村区太閤１丁目８−１ 青山ビル3F,https://ant-create.com/
18,株式会社ユービコーポレーション,1991年, - ,10-29人,東京都豊島区南長崎6-1-2,http://www.yubi.co.jp/
19,DICカラーデザイン株式会社,2000年, - ,30-99人,東京都中央区日本橋三丁目7番20号　ディーアイシービル5F,https://www.dic-color.com/
20,株式会社タカヨシ,1960年,高橋佑,100-499人,愛知県名古屋市桜が丘295 第八オオタビル7階,https://www.takayoshi.co.jp/
21,株式会社フォーユー,2003年,金田　進哉,1-4人,東京都品川区西中延3-9-3 2F,https://www.uuuu.to/
22,株式会社ディモルギア,1989年,長沼　茂夫,30-99人,東京都文京区湯島3-24-11　湯島北東ビル2F,https://dimiourgia.jp/
