No.,会社名,設立年,代表者名,従業員数,住所,会社URL
1,株式会社ジャッツ,1978年,長島　真治,100-499人,東京都品川区東大井2丁目13番8号ケイヒン東大井ビル4F,https://jats-tokyo.com/
2,株式会社grooves,2004年, - ,100-499人,東京都港区南青山5-4-27 Barbizon104 7F,https://www.grooves.com
3,株式会社ツナグ・スタッフィング,2000年,菊地 　元太,30-99人,東京都千代田区神田三崎町3丁目1-16 神保町北東急ビル1F･2F,https://staffing.tsunagu-grp.jp/
4,株式会社nendo,2019年, - , - ,東京都中央区八重洲 1丁目2番16号 ＴＧビルディング 8階,https://nendo.co.jp/
5,ARCH plus株式会社 / ARCH plus協同組合,2018年,瀬戸陽子,5-9人,東区白壁2−25−19 1F,https://arch-plus.co.jp/
6,株式会社エンディングキャリア,2020年,佐藤大介,5-9人,東京都渋谷区恵比寿西2-19-9 フランセスビル1階2階,https://endingcareer.co.jp/
7,株式会社ミライアル,2015年,木田豊彦,1-4人,大阪府吹田市広芝町１０－８董友ビル2階,https://t-miraiaru.com/
8,株式会社スマイループス, - , - , - ,東京都港区三田1-2-17 MSビル4F,https://smiloops.com/
9,株式会社Asian Bridge,2007年,小西　広恭,30-99人,東京都港区芝3-1-15 芝ボートビル 7F,https://asianbridge.co.jp/
10,株式会社リオルサ,2019年, - ,10-29人,愛知県名古屋市中区栄1-21-10つばめ第2栄ビル2F,https://recruit-ask.com/
11,株式会社コネクトグロー,2020年,押元　啓介,1-4人,大阪府吹田市豊津町18-37 江坂ビジネスゾーン405,https://connect-grow.co.jp/
12,株式会社　トレンド,2013年,高谷久志,500-999人,愛知県刈谷市東刈谷町3丁目12番地7,https://www.trendco.biz/
13,株式会社Mate,2022年,-,30-99人,大阪府大阪市中津3−12−8,https://www.mate.town
14,株式会社KAND,2022年, - ,1-4人,久太郎町3丁目1-6　伊藤佑ビル大阪本町6階,https://www.k-and.co.jp/
15,エッセンス株式会社,2009年,米田 瑛紀,10-29人,東京都中央区日本橋蛎殻町１－１１－１,http://www.essence.ne.jp/
16,株式会社UZUZ,2012年, - ,30-99人,東京都新宿区西新宿3丁目11-20　オフィススクエアビル新宿3階,https://uzuz.jp/
17,株式会社IKY,2016年,川西　恭平,10-29人,東京都豊島区南池袋3-13-14 TAKIビル 5-6F,http://i-k-y.co.jp/
