No.,会社名,設立年,代表者名,従業員数,住所,会社URL
1,リタクラウド株式会社,2021年, - ,10-29人,東京都渋谷区円山町5-2 VORT渋谷道玄坂Ⅱ7階,https://rita-cloud.co.jp/
2,社会保険労務士法人　経営管理センター,2007年, - ,30-99人,東京都千代田区九段南1-6-17 千代田会館3F,https://www.kanricenter.com
3,オーブコンサルタント社会保険労務士事務所, - ,小島　理恵(こじま　りえ), - ,東京都東村山市栄町2-9-10　KR久米川301,http://aube-consultant.jp/
4,あすらん社会保険労務士法人,2020年, - ,5-9人,千代田区麹町3-5-2 BUREX麹町,https://athrun.co.jp/
5,ふぉれすと社会保険労務士法人,2018年,中曽根由香里,1-4人,千葉県柏市柏３－３－３フォレストかしわ２０１号,https://nakasone-office2021.com/
6,社会保険労務士法人レクシード,2016年,鈴木教大,10-29人,栃木県鹿沼市東末広町1940-12　シマダヤビル3F,http://www.rexseed.jp/
7,TRIPORT株式会社・TRIPORT社会保険労務士法人,2014年, - ,30-99人,東京都新宿区新宿7丁目26-7 ビクセル新宿1F,https://triport.co.jp/
8,門田睦美税理士・社労士事務所,1998年, - ,1-4人,東京都文京区千駄木2丁目26番12号,http://www.kadotaltasroffice.com/index.php
9,社労士派遣コンサルティング,2017年, - ,1-4人,東京都千代田区内幸町1-3-1　幸ビルディング9階,https://www.sr-haken-consulting.com/
10,社会保険労務士法人アジア経営革新等支援機関,2021年, - ,1-4人,東京都新宿区西新宿7-6-9アイアイビル3F,http://www.kudokokusai.com
11,あすか社会保険労務士法人,1997年,大東　恵子,30-99人,東京都港区赤坂7-1-16　オーク赤坂ビル4F,https://www.all-smiles.jp/
12,いちみ社労士事務所,2015年,特定社会保険労務士　一見 幸廣,1-4人,東京都豊島区池袋二丁目69番7号　恩田ビル401号室, - 
13,SRマーケティング社会保険労務士事務所,2014年, - ,1-4人,東京都板橋区南常盤台1-11-6-101,https://www.srmarketing.jp/
14,社会保険労務士法人閃光舎,2016年,河守　勝彦,10-29人,神奈川県横浜市旭区中希望が丘１９８−１０ 第三山庄ビル２階,https://senkousha.or.jp/
15,ソラ社会保険労務士事務所,2015年,岩崎空,1-4人,茨城県龍ケ崎市取手市新町4丁目28-26　原田ビル3F,http://www.sorahr.com/
16,アローズ社会保険労務士事務所,2020年, - , - ,東京都北区赤羽3-21-3モンプラトー平山404号室,https://www.arrows-sr.biz/
17,ヒューマンブライツ社会保険労務士事務所,2016年, - ,5-9人,東京都西東京市ひばりが丘3丁目3番6-706号,https://human-brights.jimdofree.com
18,志村経営労務事務所,1976年,志村　幸彦,10-29人,東京都目黒区目黒1-24-12 オリックス目黒ビル10階,https://www.shimura-group.co.jp/
19,社会保険労務士法人Fiori,2009年, - ,5-9人,埼玉県上尾市春日1-19-36　クイーンズタウン1号室,http://www.clover-sr.com/
20,東京人事労務ファクトリー,2002年, - ,1-4人,東京都渋谷区渋谷3-13-5 BPRレジデンス渋谷1002,http://www.jinjiroum.com
21,社会保険労務士法人ベスト・パートナーズ,2008年,竹谷保宣,30-99人,大阪府大阪市北区西天満5丁目10番17号 西天満パークビル2階,https://www.t-roumu.com/
22,社会保険労務士法人きんか,2020年,西田　真琴,10-29人,岐阜県岐阜市長森細畑1817-3　CAMINOビル2階,https://sr-nishida.com/
23,社会保険労務士法人HRDユナイテッド・オフィス,2017年, - ,5-9人,東京都新宿区新宿２－５－１６　霞ビル５F,https://www.sr-hrduo.com/
24,社会保険労務士法人ブレイヴセイル,2021年, - ,1-4人,東京都新宿区四谷三栄町4番10 税研ビル2階,http://bravesail.or.jp
25,社会保険労務士法人プラットワークス,2018年, - ,10-29人,東京都千代田区永田町二丁目17番17号　アイオス永田町６階,https://sr.platworks.jp
26,シグマライズ社会保険労務士法人,2018年,斎藤　清二,1-4人,東京都台東区東上野1-11-7	M.BALANCE+ UENO EAST 5階,https://sigma-labor.com/
27,さとう社会保険労務士事務所, - , - , - ,東京都大田区池上4-27-14　池上四丁目ビル306,http://sato-sr-office.jp/
28,社会保険労務士法人clovic,2009年, - ,10-29人,大阪市中央区北浜2丁目3番6号　北浜山本ビル６Ｆ,https://clovic-office.com/
29,社会保険労務士法人松本,2016年, - ,10-29人,東京都江東区亀戸1-5-7 錦糸町プライムタワー6階,https://www.m-sr.or.jp/
30,社労士オフィスみやざき,2006年, - ,1-4人,神奈川県藤沢市辻堂1-4-16　ヴェルドミール湘南401,http://www.som-net.com/
31,社労士人事法務オフィス,2001年, - ,1-4人,東京都町田市原町田4-21-18-1104,http://jinji-office.com/
32,社会保険労務士法人　板倉事務所,2018年, - ,1-4人,東京都中央区日本橋小網町8-2-704,https://office-itakura.jp/
33,社会保険労務士 吉野コンサルティングオフィス,2005年, - ,1-4人,山梨県甲府市徳行5-11-11,http://www.yoshino-consult.com/
34,石原労務管理事務所,1979年, - ,1-4人,群馬県伊勢崎市宮子町3063,https://ishihara-roumu.com/
35,社会保険労務士法人ベリーベスト,2012年, - ,10-29人,東京都千代田区神田三崎町2-4-1　ＴUG-Ｉビル2階,https://www.vbest-sr.jp/
36,社会保険労務士法人ローム池袋,2007年, - ,30-99人,東京都豊島区高松1-11-16　西池袋フジタビル6F,https://www.roum-sr.jp/
37,Aimパートナーズ総合会計事務所,2003年, - ,30-99人,北海道札幌市西区西野2条5丁目6番5号Aim.BLD,https://www.office-ebina.com/
38,ついき社会保険労務士事務所,2016年, - ,5-9人,大阪府大阪市福島区福島2-9-11 フォーラム福島5 3階,http://osaka-shugyoukisoku.com/
39,社会保険労務士法人すばる,2012年, - ,10-29人,東京都中央区京橋3-12-4 マオビル9F,https://subaru-sr.jp/
40,かなた社会保険労務士事務所,2021年, - ,1-4人,福岡県糟屋郡須恵町須恵720-2-105,https://kanata-sr.com/
41,社会保険労務士法人 飯田橋事務所,1977年, - ,30-99人,東京都千代田区飯田橋3-2-2　飯田橋3丁目ビル5階,https://www.sr-suzuki.jp/
42,社会保険労務士法人とうかい,2011年, - ,10-29人,愛知県名古屋市西区牛島町5番2号 名駅TKビル5F,https://www.tokai-sr.jp
43,和貴社会保険労務士法人（旧：グリーン社会保険労務士事務所）,2008年, - ,5-9人,千葉県船橋市本町2-14-23 山﨑ビル1F,https://waki.or.jp
44,フォーウィン社会保険労務士事務所, - , - , - ,東京都江戸川区北小岩6-32-12,https://www.fwin.jp/
45,社会保険労務士法人ステラコンサルティング,2010年, - ,5-9人,埼玉県さいたま市大宮区吉敷町1-103大宮大鷹ビル5F,http://stella-sr.net/
46,社会保険労務士　齋藤事務所,2007年, - ,5-9人,東京都新宿区西新宿7-18-12NOVA西新宿ビル1F,http://www.saitoh-office.com/
47,社会保険労務士法人アクト労務経営センター,2008年, - ,5-9人,東京都江東区亀戸2-28-3 アセッツ亀戸30B,https://www.act-66.com/
48,労務オフィスやまもと,2008年, - , - ,福島県郡山市台新1-32-13,http://www.roumu-office.jp/
49,社会保険労務士法人アールワン,1996年, - ,10-29人,東京都千代田区麹町1-3 ニッセイ半蔵門ビル3F,http://www.office-r1.jp/
50,社会保険労務士法人アンビシャス,2017年, - ,5-9人,宮城県仙台市宮城野区榴ヶ岡108-16 LaDouceur榴ヶ岡203号,http://www.ambi-sr.com/
51,にしだ社会保険労務士事務所, - , - , - ,東京都千代田区神田三崎町3-2-13 秋和ビル201,https://www.sr-nishida.jp/
52,社会保険労務士事務所 リーフレイバーコンサルティング,2011年, - ,1-4人,東京都文京区本郷3-9-5　土屋ビル302,http://www.leaf-sr.jp/
53,エクセライク社会保険労務士法人,2020年,岩壁 昭房,1-4人,東京都豊島区東池袋4-21-1 OWL TOWER OFFICE 201,https://hr.excelike.co.jp/
54,TS人事労務オフィス,2021年, - ,1-4人,東京都昭島市緑町1-17-26,http://www.tsjinjiroumuoffice.com/
55,山形社労士・行政書士事務所,2017年, - ,5-9人,東京都千代田区九段北1-9-5-421,https://office-yamagata.net/
56,Aimhighコンサルティング社会保険労務士事務所,2021年,篠 高志,1-4人,赤山本町3-24　ライオンズグローバル越谷ステーションプラザ1201号,https://aimhighconsulting.net
57,イーエスエヌ株式会社,2007年, - ,10-29人,奈良県天理市庵治町431-48,https://esn.jp/webpr/
58,JSK青山中央社会保険労務士法人,1995年, - ,10-29人,東京都港区北青山3丁目12-7-1004,https://sharoushi.com/
59,株式会社シンセシスリーガルファミリア　望月綜合法務事務所グループ,2008年,望月　賢,10-29人,大阪市北区南森町1丁目3番29号,http://gift-m.com/
60,オーダーメイド労務管理事務所,2005年, - ,1-4人,大阪府富田林市南旭ケ丘町12-35,http://www.order1616-jyoseikin.com/
61,みなとみらい人事コンサルティング, - , - , - ,神奈川県横浜市西区みなとみらい5-3-2 PRCみなとみらいオーシャンタワー2310,http://mmjinji.com/
62,原労務安全衛生管理コンサルタント事務所, - , - , - ,福岡県福岡市早良区高取2-14-12-202,http://www.roumuanzeneisei.jp/
63,社会保険労務士事務所みらい,2007年, - ,5-9人,神奈川県横浜市中区住吉町四丁目４５－１　関内トーセイビルⅡ６階,http://www.4166.jp/
64,レグルス社会保険労務士　社会福祉士事務所,2015年, - ,1-4人,東京都八王子市中野上町3-32-3-103,https://www.regulus-sr-sw.biz/
65,ドラフト労務管理事務所,2009年, - ,1-4人,大阪府大阪市東成区中道3丁目15番16号 毎日東ビル4階,http://www.draft-sr.com/
