No.,会社名,設立年,代表者名,従業員数,住所,会社URL
1,株式会社ジャッツ,1978年,長島　真治,100-499人,東京都品川区東大井2丁目13番8号ケイヒン東大井ビル4F,https://jats-tokyo.com/
2,京成ビルサービス株式会社,1977年,諸川　良太,100-499人,千葉県船橋市本町4-8-50,https://www.keisei-bs.jp/
3,株式会社ツナグ・スタッフィング,2000年,菊地 　元太,30-99人,東京都千代田区神田三崎町3丁目1-16 神保町北東急ビル1F･2F,https://staffing.tsunagu-grp.jp/
4,株式会社Bauer,2015年,鈴木　智博,30-99人,東京都新宿区新宿6-7-22エルプリメント新宿258,http://bauer-inc.co.jp/
5,株式会社ライフ・サポート,1988年,神谷 宗孝,100-499人,向陽町３丁目４番地,https://lifespt.jp/index.php
6,株式会社マンキャピタル,1998年,田中　邦雄,30-99人,東京都豊島区西池袋5丁目10-2　椿ビル3階,https://mancapi.com/
7,株式会社ブロアジャパン,2010年, - ,10-29人,東京都千代田区神田須田町2-13-1 YKS黒田ビル5F/7F,https://broa.jp/
8,株式会社シグマスタッフ,1983年, - ,30-99人,東京都品川区上大崎2-25-2 新目黒東急ビル6階,http://www.sigma-staff.co.jp/
9,株式会社　トレンド,2013年,高谷久志,500-999人,愛知県刈谷市東刈谷町3丁目12番地7,https://www.trendco.biz/
10,株式会社アクトブレーン,1998年,中原 大志,100-499人,東京都新宿区西新宿1-6-1　新宿エルタワー14F,http://www.actgroup.jp/
11,株式会社マンネット,1986年,関　道博,30-99人,東京都渋谷区渋谷3-6-6  渋谷パークビル4F,https://mannet.jp/
12,株式会社Mate,2022年,-,30-99人,大阪府大阪市中津3−12−8,https://www.mate.town
13,首都高パートナーズ株式会社,2006年,三原　真一,1-4人,東京都中央区日本橋3-11-1 ＨＳＢＣビルディング２階,http://www.shutoko-pn.jp/
14,アドバンテック株式会社,1998年, - , - ,大阪府大阪市淀川区宮原3-5-36 新大阪トラストタワー19F,http://www.advan-t.com/
15,株式会社ホンヤク社,1972年,原田真,30-99人,東京都港区海岸1-15-1 スズエベイディアム9F,http://www.translatejapan.com/
16,株式会社クボモト,1971年,久保本 篤,30-99人,神奈川県横浜市中区太田町6-86　オーパリヴァージュ701,https://www.kubomoto.co.jp/
17,パーソナルエージェントソリューションズ株式会社,2018年, - ,100-499人,東京都渋谷区道玄坂1-16-6 二葉ビル 5F-C,https://personalagent.co.jp/
18,株式会社アークスリー,2015年, - ,30-99人,大阪市中央区谷町1-6-5 西村ビル4階・5階,http://arkthree.com/
19,東西株式会社,1957年, - ,500-999人,東京都大田区大森北1-1-10　大森シティビル9F,https://www.touzai.jp/
20,株式会社 エクシードジャパン,2005年, - ,30-99人,東京都渋谷区代々木1-2-9 代々木アネックスビル2階,http://www.exceedjapan.co.jp/
21,株式会社エヌエムピースペシャリスト,1979年, - ,100-499人,東京都新宿区新宿2-3-11　VORT新宿御苑5階,https://nmp-specialist.com/
22,株式会社Ling,2012年, - ,100-499人,東京都新宿区住吉町1番16　ISEビル5階,https://www.lingcorp.co.jp/
23,株式会社axxe,1994年, - ,10-29人,東京都千代田区岩本町3-9-15 フォロス岩本町ビル5F,http://www.axxe-co.jp/
24,株式会社FAN･DREAM,2017年, - ,30-99人,東京都港区虎ノ門3-19-7 大手ビル7F,https://fan-dream.co.jp/
25,株式会社エスプールヒューマンソリューションズ,2009年, - ,100-499人,東京都新宿区西新宿1-25-1 新宿センタービル36階,https://www.spool.co.jp/service/shs/
26,株式会社シーエーセールススタッフ,2003年, - ,30-99人,東京都港区浜松町1-2-14　ユーデン浜松町ビル5F,https://www.ca-ss.jp/
27,株式会社フルキャスト,1976年, - ,100-499人,東京都品川区西五反田8-9-5  FORECAST五反田WEST 12F,http://www.fullcast.co.jp/
28,株式会社エヌエフエー,2006年, - ,100-499人,東京都大田区西蒲田5-27-10 りそな蒲田ビル4F,https://www.nfa-g.com
29,株式会社マインズ,2008年,矢野 卓也,10-29人,兵庫県姫路市東延末2丁目24番地 アークビル1Ｆ,https://minds-z.co.jp/
30,株式会社Acseez,2014年, - ,1000人以上,埼玉県さいたま市大宮区下町2-18　TS-3BLDG1F,http://www.acseez.jp/
31,株式会社クインテット,2006年, - ,10-29人,大阪府大阪市北区堂山町1-2　R&Eビル8F,http://queentet.net/
32,株式会社The Unit,2016年,宮内　智教,100-499人,東京都品川区上大崎3-1-1　JR東急目黒ビル4F,https://the-unit.co.jp/
33,株式会社Bridge,2020年, - ,10-29人,大阪府大阪市南船場 2-11-20 GATO三休橋ビル1F 東B,https://tk-bridge.com/
34,WISH株式会社,1993年,浅野　晃司,500-999人,静岡県磐田市森本607番の2,http://www.luster.ne.jp/
35,株式会社サツキャリ,1957年, - ,10-29人,北海道札幌市中央区南1条西9丁目6-3 札幌CSビル,https://career-support.co.jp/sc/
36,株式会社ビッグアビリティ,1982年,大原 博,30-99人,東京都渋谷区代々木2-1-1 新宿マインズタワー１６階,https://wordman.jp/
37,レバレジーズ株式会社,2005年, - ,1000人以上,東京都渋谷区渋谷二丁目24番12号 渋谷スクランブルスクエア　24F・25F,http://leverages.jp/
38,株式会社ロムテックジャパン,1984年,竹見　幹雄,5-9人,東京都中央区日本橋蛎殻町1-39-5　水天宮北辰ビル3F,http://www.romtech.jp/
39,株式会社UFジャパン,2010年,内田　篤史,30-99人,東京都新宿区西新宿7-5-8 GOWA西新宿6階,http://www.ufjapan.co.jp
40,株式会社小田急プラネット,1992年, - ,500-999人,東京都新宿区西新宿1丁目4番9号,https://www.odakyu-planet.co.jp/
41,株式会社ライジング,1998年,田坂　幾太,30-99人,京都府京都市中京区西ノ京御輿岡町25番地16イリアスビル,https://rising-k.co.jp/
